view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 85261}]",85261,instructions,0,85265,0.0-0.0,anon_subject_195,659f04805339f753c1b65235,65a05a652a197f9cd83e47bd,0.08079297549991327,instructions,session-65a05b3772d19
"[{'page_index': 0, 'viewing_time': 15169}]",15169,instructions,0,15174,0.0-0.0,anon_subject_157,659f04805339f753c1b65235,65a05a7de68d1344f3d2b07e,0.07519901952352348,instructions,session-65a05b2bcb6e1
"[{'page_index': 0, 'viewing_time': 2592}]",2594,instructions,0,2621,0.0-0.0,anon_subject_159,659f04805339f753c1b65235,65a0478f5068c51fec46d804,0.9366310111096849,instructions,session-65a0486200e71
"[{'page_index': 0, 'viewing_time': 3454}]",3454,instructions,0,3455,0.0-0.0,anon_subject_118,659f04805339f753c1b65235,65a03eb0264dee80cb4a91b9,0.9464230368279836,instructions,session-65a03f313ede3
"[{'page_index': 0, 'viewing_time': 10821}]",10821,instructions,0,10827,0.0-0.0,anon_subject_187,659f04805339f753c1b65235,65a04df36616b428b1412966,0.3409365989325661,instructions,session-65a04e5cb9a86
"[{'page_index': 0, 'viewing_time': 29489}]",29490,instructions,0,29496,0.0-0.0,anon_subject_230,659f04805339f753c1b65235,65a027b43ac2f375865f4796,0.539422361423439,instructions,session-65a028b8dfc73
"[{'page_index': 0, 'viewing_time': 15393}]",15396,instructions,0,15402,0.0-0.0,anon_subject_162,659f04805339f753c1b65235,65a03fb02a197f9cd83e4130,0.608887415889483,instructions,session-65a0403f5a935
"[{'page_index': 0, 'viewing_time': 24148}]",24149,instructions,0,24165,0.0-0.0,anon_subject_164,659f04805339f753c1b65235,65a03ef98320fc7c6257ab14,0.8302337997901403,instructions,session-65a03f9950f9c
"[{'page_index': 0, 'viewing_time': 1466}]",1467,instructions,0,1469,0.0-0.0,anon_subject_184,659f04805339f753c1b65235,65a0481eba9f28bc37c44d6f,0.3633344649811525,instructions,session-65a0492cd4f98
"[{'page_index': 0, 'viewing_time': 9336}]",9336,instructions,0,9339,0.0-0.0,anon_subject_2,659f04805339f753c1b65235,65a0473f6e869bf85df4d846,0.3390884251104017,instructions,session-65a0479790b96
"[{'page_index': 0, 'viewing_time': 14197}]",14197,instructions,0,14200,0.0-0.0,anon_subject_3,659f04805339f753c1b65235,65a05a746f96899614f27aaf,0.6854585070917787,instructions,session-65a05adad4275
"[{'page_index': 0, 'viewing_time': 3026}]",3027,instructions,0,3030,0.0-0.0,anon_subject_68,659f04805339f753c1b65235,65a047969066460e83748fd1,0.9549287625584775,instructions,session-65a048efb8a49
"[{'page_index': 0, 'viewing_time': 24691}]",24691,instructions,0,24700,0.0-0.0,anon_subject_172,659f04805339f753c1b65235,65a02582395b2717c94c2371,0.9273621050172716,instructions,session-65a02601b7232
"[{'page_index': 0, 'viewing_time': 1489}]",1489,instructions,0,1490,0.0-0.0,anon_subject_250,659f04805339f753c1b65235,65a05c955aba9e5f885bfc99,0.35229718550149713,instructions,session-65a05d6160679
"[{'page_index': 0, 'viewing_time': 15727}]",15728,instructions,0,15735,0.0-0.0,anon_subject_158,659f04805339f753c1b65235,65a05a79c58774cde45fed62,0.5495041603427855,instructions,session-65a05af008de2
"[{'page_index': 0, 'viewing_time': 3007}]",3008,instructions,0,3013,0.0-0.0,anon_subject_47,659f04805339f753c1b65235,65a0245a6428f6802cf26fe3,0.5718226216142261,instructions,session-65a024eeee8f2
"[{'page_index': 0, 'viewing_time': 12859}]",12859,instructions,0,12863,0.0-0.0,anon_subject_175,659f04805339f753c1b65235,65a05a64b70cd6898be5c9a8,0.8050535166364963,instructions,session-65a05bffa391f
"[{'page_index': 0, 'viewing_time': 28786}]",28786,instructions,0,28789,0.0-0.0,anon_subject_251,659f04805339f753c1b65235,65a02a15eeee5416c5400a52,0.011360161522806056,instructions,session-65a02ac49d097
"[{'page_index': 0, 'viewing_time': 3165}]",3165,instructions,0,3171,0.0-0.0,anon_subject_272,659f04805339f753c1b65235,65a0479eccba17a0c394abd1,0.8720480729364403,instructions,session-65a0481e87e9e
"[{'page_index': 0, 'viewing_time': 12955}]",12955,instructions,0,12958,0.0-0.0,anon_subject_298,659f04805339f753c1b65235,65a0293d5aba9e5f885beff2,0.517775510437086,instructions,session-65a029f633cbd
"[{'page_index': 0, 'viewing_time': 32166}]",32166,instructions,0,32166,0.0-0.0,anon_subject_282,659f04805339f753c1b65235,65a03fb16af24254f25d6062,0.08473310130444456,instructions,session-65a040d034651
"[{'page_index': 0, 'viewing_time': 14340}]",14340,instructions,0,14341,0.0-0.0,anon_subject_145,659f04805339f753c1b65235,65a0476a9066460e83748fc9,0.8644873986616477,instructions,session-65a047c1a123f
"[{'page_index': 0, 'viewing_time': 15830}]",15831,instructions,0,15835,0.0-0.0,anon_subject_223,659f04805339f753c1b65235,65a05a7215917193ea8a6a91,0.6467911637902726,instructions,session-65a05b06077fb
"[{'page_index': 0, 'viewing_time': 63323}]",63324,instructions,0,63342,0.0-0.0,anon_subject_143,659f04805339f753c1b65235,65a05a7eab05057d2f5b2984,0.46747084098131486,instructions,session-65a05b45ce19b
"[{'page_index': 0, 'viewing_time': 24419}]",24419,instructions,0,24423,0.0-0.0,anon_subject_263,659f04805339f753c1b65235,65a05a895e58d51b4f3e4996,0.5364883509687399,instructions,session-65a05b242a56d
"[{'page_index': 0, 'viewing_time': 15271}]",15273,instructions,0,15279,0.0-0.0,anon_subject_211,659f04805339f753c1b65235,65a047999b6bc005fb6bdf88,0.4735783142253964,instructions,session-65a04878e4015
"[{'page_index': 0, 'viewing_time': 47110}]",47110,instructions,0,47113,0.0-0.0,anon_subject_289,659f04805339f753c1b65235,65a03ee90e6a0108526bdd44,0.4115867495775497,instructions,session-65a04049c6111
"[{'page_index': 0, 'viewing_time': 29215}]",29216,instructions,0,29221,0.0-0.0,anon_subject_152,659f04805339f753c1b65235,65a03f1e6ba14dc8d40a4a56,0.9374795025563682,instructions,session-65a03fc14f761
"[{'page_index': 0, 'viewing_time': 17764}]",17765,instructions,0,17770,0.0-0.0,anon_subject_112,659f04805339f753c1b65235,65a02b703cf0fef29ad2a2f1,0.8018806011650006,instructions,session-65a02bde687c3
"[{'page_index': 0, 'viewing_time': 7082}]",7083,instructions,0,7086,0.0-0.0,anon_subject_205,659f04805339f753c1b65235,65a05c0110105f4dafafb2b5,0.5711494623922899,instructions,session-65a05c54d3666
